Eriref,Heading,CP,EP,Table
HT43519,There is a limit on how many entries java//sendXMLmsg.sh script can handle currently.,CP1,EP3,Table 23
HT45887,CEA 2.0 ICP1 - Correlator: ~10% of KPIs contain invalid cell locations,CP1,EP3,Table 23
HT49863,CEA 2.0 ICP1 neutal naming must be used in the documentation,CP1,EP3,Table 23
HT11024,CEA 2.0 ICP1 - Probe video parser crash,CP1,EP2,Table 24
HT13877,"CEA2.0 ICP1 - CC GUI changing interval, only incidents visible in Details-tab. No QI can be chosen.",CP1,EP2,Table 24
HT28210,Changing time interval results in no Quality Indicators shown in CEA CC gui,CP1,EP2,Table 24
HT14116,CEA 2.0 ICP1 - Probe traffic mix calculation should use Linux pipe instead of tmp file,CP1,EP2,Table 24
HT14314,CEA 2.0 ICP1 - Probe video parser reports too high init buffer time,CP1,EP2,Table 24
HT15005,CEA 2.0 ICP1 - Correlator fills some KPIs with non-realistic values,CP1,EP2,Table 24
HT15053,CEA 2.0 ICP1 - Correlator reports too low TCP round-trip time KPI values,CP1,EP2,Table 24
HT15042,CEA 2.0 ICP1 - Probe uplane parser exits on non UTF-8 string,CP1,EP2,Table 24
HT15045,CEA 2.0 ICP1 - Probe gtpc parser internal status counters show false values,CP1,EP2,Table 24
HT15046,CEA 2.0 ICP1 - Probe KPI Video Initial Buffering Time is missing from Technical Product Description,CP1,EP2,Table 24
HT15047,CEA 2.0 ICP1 - Probe KPI Video Initial Buffering Time is missing from CC GUI,CP1,EP2,Table 24
HT19078,CEA 2.0 ICP1 - Correlator reports negative throughput value,CP1,EP2,Table 24
HT19386,CEA 2.0 ICP1 - Probe config should support using customised traffic classification signature files,CP1,EP2,Table 24
HT19965,CEA 2.0 IPC1 EP1: Pag stops unexpectedly,CP1,EP2,Table 24
HT20123,CEA 2.0 ICP1 - Correlator should report GTP cause text in triggers,CP1,EP2,Table 24
HT20125,CEA 2.0 ICP1 - Correlator should report APN in 4G failed Attach trigger,CP1,EP2,Table 24
HT20159,A request on SOC GUI specifying only 4G attach KPI ahows all the attach metrics.,CP1,EP2,Table 24
HT20943,Add steps to the 2.0 ICP1 Admin Guide for documenting the DB failover steps/procedures,CP1,EP2,Table 24
HT22232,CEA 2.0 ICP1 - CC GUI does not report device info from actual network usage,CP1,EP2,Table 24
HT22234,CEA 2.0 ICP1 - CC GUI reports false warning on device info mismatch,CP1,EP2,Table 24
HT22237,CEA 2.0 ICP1 - RE does not support networks using multiple IMSI MCC-MNC prefixes,CP1,EP2,Table 24
HT24239,CEA 2.0 ICP1 - Correlator doesn't update MCC/MNC from 4G EBM events,CP1,EP2,Table 24
HT26324,CEA 2.0 ICP1 - Correlator related NGEE alarms are redefined thus not set,CP1,EP2,Table 24
HT26527,"The loader loads a file of incidents, moves it to the archive, then later loads and moves incidents",CP1,EP2,Table 24
HT26553,GUI locale setting dont work in Euro format.,CP1,EP2,Table 24
HT26555,Running tests in 3G .The QI speed in the details section says Im running on 2G,CP1,EP2,Table 24
HT28516,CEA 2.0 ICP1 - Probe Probemon crash at start,CP1,EP2,Table 24
HT28556,CEA 2.0 ICP1 - Probe reports too high max throughput,CP1,EP2,Table 24
